name,quantity,protein,carbs,sugars,cholesterol,fiber,fat,calories
Cornstarch,0,0.26,91.27,0,0,0.9,0.1,381
Nuts/ pecans,0,9.17,13.86,3.97,0,9.6,72,691
Eggplant/ raw,0,0.98,5.88,3.53,0,3,0.2,25
Teff/ uncooked,0,13.3,73.13,1.84,0,8,2.4,367
Sherbet/ orange,0,1.1,30.4,24.32,1,1.3,2,144
Cauliflower/ raw,0,1.92,4.97,1.91,0,2,0.3,25
Taro leaves/ raw,0,4.98,6.7,3.01,0,3.7,0.7,42
Lamb/ raw/ ground,0,16.56,0,0,73,0,23,282
Cheese/ camembert,0,19.8,0.46,0.46,72,0,24,300
Vegetarian fillets,0,23,9,0.8,0,6.1,18,290
PACE/ Picante Sauce,0,0,6.25,6.25,0,3.1,0,25
Goji berries/ dried,0,14.26,77.06,45.61,0,13,0.4,349
Mango nectar/ canned,0,0.11,13.12,12.45,0,0.3,0.1,51
Crackers/ rusk toast,0,13.5,72.3,0,78,0,7.2,407
Chicken/ boiled/ feet,0,19.4,0.2,0,84,0,15,215
Quail/ raw/ meat only,0,21.76,0,0,70,0,4.5,134
Pie/ lemon/ fried pies,0,3,42.6,0,0,2.6,16,316
Peppers/ raw/ jalapeno,0,0.91,6.5,4.12,0,2.8,0.4,29
Winged bean tuber/ raw,0,11.6,28.1,0,0,0,0.9,148
Salami/ turkey/ cooked,0,19.2,1.55,1.12,76,0.1,9.2,172
Grapes/ raw/ muscadine,0,0.81,13.93,0,0,3.9,0.5,57
Nuts/ raw/ ginkgo nuts,0,4.32,37.6,0,0,0,1.7,182
Spices/ ground/ savory,0,6.73,68.73,0,0,45.7,5.9,272
Candies/ sesame crunch,0,11.6,50.3,31.17,0,7.7,33,516
Cheese/ low fat/ cream,0,7.85,8.13,5.82,54,0,15,201
PACE/ Green Taco Sauce,0,0,6.25,6.25,0,0,0,25
Syrup/ Canadian/ maple,0,0,67.38,59.92,0,0,0,270
Ostrich/ raw/ top loin,0,21.67,0,0,75,0,3,119
Chewing gum/ sugarless,0,0,94.8,0,0,2.4,0.4,268
Nuts/ dried/ pine nuts,0,13.69,13.08,3.59,0,3.7,68,673
Pasta/ unenriched/ dry,0,13.04,74.67,2.67,0,3.2,1.5,371
McDONALD'S/ Side Salad,0,1.03,4.3,2.24,0,1.6,0.2,20
Cookies/ Marie biscuit,0,7.05,70.54,21.16,0,3.5,11,406
Broccoli/ raw/ chinese,0,1.2,4.67,0.88,0,2.6,0.8,30
McDONALD'S/ Hash Brown,0,2.48,28.56,0.54,0,2.8,16,271
Agave/ raw (Southwest),0,0.52,16.23,2.58,0,6.6,0.2,68
Emu/ raw/ outside drum,0,23.08,0,0,78,0,0.5,103
Nuts/ dried/ beechnuts,0,6.2,33.5,0,0,0,50,576
Currants/ dried/ zante,0,4.08,74.08,67.28,0,6.8,0.3,283
Lentils/ raw/ sprouted,0,8.96,22.14,0,0,0,0.6,106
Gravy/ mix/ dry/ onion,0,9,67.64,0,2,6,3,322
Pie/ fruit/ fried pies,0,3,42.6,21.4,0,2.6,16,316
Snacks/ cakes/ popcorn,0,9.7,80.1,0.72,0,2.9,3.1,384
Snack/ Mixed Berry Bar,0,13.16,58.84,26.32,0,7.9,11,383
Fish/ raw/ sheepshead,0,20.21,0,0,50,0,2.4,108
Babyfood/ pear/ juice,0,0,11.86,7.28,0,0.1,0,47
Brussels sprouts/ raw,0,3.38,8.95,2.2,0,3.8,0.3,43
Broccoli raab/ cooked,0,3.83,3.12,0.62,0,2.8,0.5,33
Butter oil/ anhydrous,0,0.28,0,0,256,0,99,876
Chicory/ raw/ witloof,0,0.9,4,0,0,3.1,0.1,17
KEEBLER/ Waffle Cones,0,6.5,87.7,31.6,0,1.8,5.3,424
KEEBLER/ Waffle Bowls,0,6.5,87.7,31.6,0,1.8,5.3,424
Broccoli/ raw/ leaves,0,2.98,5.06,1.48,0,2.3,0.4,28
Durian/ raw or frozen,0,1.47,27.09,0,0,3.8,5.3,147
Tomatoes/ raw/ orange,0,1.16,3.18,0,0,0.9,0.2,16
Tomatoes/ raw/ yellow,0,0.98,2.98,0,0,0.7,0.3,15
Egg custards/ dry mix,0,6.9,82.8,0,258,0,6.4,410
Peanut flour/ low fat,0,33.8,31.27,0,0,15.8,22,428
Fish/ smoked/ haddock,0,25.23,0,0,77,0,1,116
DENNY'S/ french fries,0,3.41,35.2,0.85,0,3.5,14,282
Ground turkey/ cooked,0,27.37,0,0,93,0,10,203
MURRAY/ Vanilla Wafer,0,4,72.9,31.5,1,1.4,17,461
WENDY'S/ french fries,0,3.73,39.73,0.4,0,4,14,301
Bread/ toasted/ wheat,0,12.96,55.77,6.42,0,4.7,4.3,313
Danish pastry/ cheese,0,8,37.2,6.95,23,1,22,374
Nuts/ glazed/ walnuts,0,8.28,47.59,32.14,0,3.6,36,500
Spices/ garlic powder,0,16.55,72.73,2.43,0,9,0.7,331
Oil/ soybean lecithin,0,0,0,0,0,0,100,763
Egg/ fresh/ raw/ yolk,0,15.86,3.59,0.56,1085,0,27,322
Fireweed/ raw/ leaves,0,4.71,19.22,0,0,10.6,2.8,103
Beef/ pastrami/ cured,0,21.8,0.36,0.1,68,0,5.8,147
Frankfurter/ meatless,0,19.61,7.7,0,0,3.9,14,233
Emu/ raw/ flat fillet,0,22.25,0,0,71,0,0.7,102
Emu/ raw/ inside drum,0,22.22,0,0,67,0,1.5,108
Ice creams/ chocolate,0,3.8,28.2,25.36,34,1.2,11,216
Snacks/ potato sticks,0,6.7,53.3,0.22,0,3.4,34,522
USDA Commodity/ salsa,0,1.5,7,0,0,1.4,0.2,36
Figs/ uncooked/ dried,0,3.3,63.87,47.92,0,9.8,0.9,249
Game meat/ raw/ horse,0,21.39,0,0,52,0,4.6,133
Syrup/ fruit flavored,0,0,65.1,65,0,0,0,261
Broccoli/ raw/ stalks,0,2.98,5.24,0,0,0,0.4,28
